amount,change,price,time,type,volume,xtim
1592650.0,-0.01,26.5,2016-11-18 15:00:03,norm,601.0,2016-11-18 15:00:03
0.0,--,26.51,2016-11-18 14:57:00,buy,0.0,2016-11-18 14:57:00
421509.0,--,26.51,2016-11-18 14:56:54,buy,159.0,2016-11-18 14:56:54
18557.0,0.01,26.51,2016-11-18 14:56:51,buy,7.0,2016-11-18 14:56:51
103350.0,--,26.5,2016-11-18 14:56:48,sell,39.0,2016-11-18 14:56:48
13250.0,--,26.5,2016-11-18 14:56:45,sell,5.0,2016-11-18 14:56:45
34450.0,-0.01,26.5,2016-11-18 14:56:42,sell,13.0,2016-11-18 14:56:42
2651.0,0.01,26.51,2016-11-18 14:56:39,buy,1.0,2016-11-18 14:56:39
7950.0,0.01,26.5,2016-11-18 14:56:36,buy,3.0,2016-11-18 14:56:36
31787.0,--,26.49,2016-11-18 14:56:33,sell,12.0,2016-11-18 14:56:33
105960.0,-0.01,26.49,2016-11-18 14:56:18,sell,40.0,2016-11-18 14:56:18
26500.0,--,26.5,2016-11-18 14:56:09,sell,10.0,2016-11-18 14:56:09
100700.0,0.01,26.5,2016-11-18 14:56:06,buy,38.0,2016-11-18 14:56:06
18543.0,-0.01,26.49,2016-11-18 14:56:00,sell,7.0,2016-11-18 14:56:00
37100.0,--,26.5,2016-11-18 14:55:51,buy,14.0,2016-11-18 14:55:51
55650.0,--,26.5,2016-11-18 14:55:48,buy,21.0,2016-11-18 14:55:48
5300.0,--,26.5,2016-11-18 14:55:42,buy,2.0,2016-11-18 14:55:42
53000.0,--,26.5,2016-11-18 14:55:39,buy,20.0,2016-11-18 14:55:39
7950.0,0.03,26.5,2016-11-18 14:55:33,buy,3.0,2016-11-18 14:55:33
52940.0,--,26.47,2016-11-18 14:55:30,sell,20.0,2016-11-18 14:55:30
63528.0,-0.03,26.47,2016-11-18 14:55:27,sell,24.0,2016-11-18 14:55:27
7950.0,--,26.5,2016-11-18 14:55:24,buy,3.0,2016-11-18 14:55:24
132500.0,--,26.5,2016-11-18 14:55:21,buy,50.0,2016-11-18 14:55:21
26500.0,--,26.5,2016-11-18 14:55:18,buy,10.0,2016-11-18 14:55:18
7950.0,--,26.5,2016-11-18 14:55:15,buy,3.0,2016-11-18 14:55:15
2650.0,--,26.5,2016-11-18 14:55:12,buy,1.0,2016-11-18 14:55:12
5300.0,--,26.5,2016-11-18 14:55:06,buy,2.0,2016-11-18 14:55:06
34450.0,--,26.5,2016-11-18 14:54:57,buy,13.0,2016-11-18 14:54:57
132500.0,--,26.5,2016-11-18 14:54:54,buy,50.0,2016-11-18 14:54:54
26500.0,--,26.5,2016-11-18 14:54:39,buy,10.0,2016-11-18 14:54:39
26500.0,--,26.5,2016-11-18 14:54:27,buy,10.0,2016-11-18 14:54:27
2650.0,-0.01,26.5,2016-11-18 14:54:18,norm,1.0,2016-11-18 14:54:18
42416.0,0.01,26.51,2016-11-18 14:54:00,buy,16.0,2016-11-18 14:54:00
95400.0,--,26.5,2016-11-18 14:53:57,sell,36.0,2016-11-18 14:53:57
10600.0,-0.01,26.5,2016-11-18 14:53:54,sell,4.0,2016-11-18 14:53:54
42416.0,--,26.51,2016-11-18 14:53:51,buy,16.0,2016-11-18 14:53:51
98087.0,-0.01,26.51,2016-11-18 14:53:48,sell,37.0,2016-11-18 14:53:48
23868.0,--,26.52,2016-11-18 14:53:45,buy,9.0,2016-11-18 14:53:45
47736.0,0.01,26.52,2016-11-18 14:53:39,buy,18.0,2016-11-18 14:53:39
7953.0,--,26.51,2016-11-18 14:53:36,buy,3.0,2016-11-18 14:53:36
132550.0,-0.01,26.51,2016-11-18 14:53:30,sell,50.0,2016-11-18 14:53:30
50388.0,0.01,26.52,2016-11-18 14:53:27,buy,19.0,2016-11-18 14:53:27
5302.0,-0.02,26.51,2016-11-18 14:53:24,sell,2.0,2016-11-18 14:53:24
188363.0,0.01,26.53,2016-11-18 14:53:18,buy,71.0,2016-11-18 14:53:18
310284.0,0.01,26.52,2016-11-18 14:53:12,buy,117.0,2016-11-18 14:53:12
37114.0,0.03,26.51,2016-11-18 14:53:09,buy,14.0,2016-11-18 14:53:09
