time,open,high,low,close,volume,amount,xtim
2016-11-14 09:25:00,27.02,27.02,27.02,27.02,19.0,51338.0,2016-11-14 09:25:00
2016-11-14 09:30:00,27.08,27.08,26.97,26.99,367.0,991431.0,2016-11-14 09:30:00
2016-11-14 09:31:00,27.0,27.08,27.0,27.08,140.0,378933.0,2016-11-14 09:31:00
2016-11-14 09:32:00,27.08,27.12,27.0,27.1,140.0,378379.0,2016-11-14 09:32:00
2016-11-14 09:33:00,27.1,27.1,27.1,27.1,71.0,192410.0,2016-11-14 09:33:00
2016-11-14 09:34:00,27.12,27.12,27.1,27.1,77.0,208808.0,2016-11-14 09:34:00
2016-11-14 09:35:00,27.11,27.11,27.09,27.09,79.0,214063.0,2016-11-14 09:35:00
2016-11-14 09:36:00,27.05,27.08,27.05,27.07,123.0,332766.0,2016-11-14 09:36:00
2016-11-14 09:37:00,27.06,27.07,27.01,27.01,125.0,338029.0,2016-11-14 09:37:00
2016-11-14 09:38:00,27.01,27.08,27.0,27.08,142.0,383890.0,2016-11-14 09:38:00
2016-11-14 09:39:00,27.08,27.09,27.02,27.02,66.0,178716.0,2016-11-14 09:39:00
2016-11-14 09:40:00,27.08,27.08,27.03,27.08,482.0,1303110.0,2016-11-14 09:40:00
2016-11-14 09:41:00,27.05,27.08,27.05,27.08,81.0,219277.0,2016-11-14 09:41:00
2016-11-14 09:42:00,27.08,27.09,27.08,27.09,85.0,230212.0,2016-11-14 09:42:00
2016-11-14 09:43:00,27.08,27.1,27.08,27.1,81.0,219414.0,2016-11-14 09:43:00
2016-11-14 09:44:00,27.1,27.1,27.08,27.08,74.0,200493.0,2016-11-14 09:44:00
2016-11-14 09:45:00,27.1,27.11,27.08,27.11,161.0,436294.0,2016-11-14 09:45:00
2016-11-14 09:46:00,27.12,27.15,27.12,27.15,114.0,309384.0,2016-11-14 09:46:00
2016-11-14 09:47:00,27.17,27.29,27.17,27.29,218.0,594091.0,2016-11-14 09:47:00
2016-11-14 09:48:00,27.29,27.29,27.23,27.25,163.0,444311.0,2016-11-14 09:48:00
2016-11-14 09:49:00,27.2,27.2,27.19,27.2,278.0,758538.0,2016-11-14 09:49:00
2016-11-14 09:50:00,27.2,27.22,27.18,27.18,672.0,1830519.0,2016-11-14 09:50:00
2016-11-14 09:51:00,27.19,27.19,27.18,27.18,139.0,377916.0,2016-11-14 09:51:00
2016-11-14 09:52:00,27.19,27.21,27.19,27.19,309.0,840391.0,2016-11-14 09:52:00
2016-11-14 09:53:00,27.18,27.18,27.15,27.15,420.0,1143803.0,2016-11-14 09:53:00
2016-11-14 09:54:00,27.15,27.15,27.13,27.14,20.0,54280.0,2016-11-14 09:54:00
2016-11-14 09:55:00,27.14,27.15,27.13,27.13,84.0,227971.0,2016-11-14 09:55:00
2016-11-14 09:56:00,27.15,27.15,27.14,27.14,100.0,271451.0,2016-11-14 09:56:00
2016-11-14 09:57:00,27.15,27.21,27.14,27.16,288.0,784685.0,2016-11-14 09:57:00
2016-11-14 09:58:00,27.14,27.21,27.14,27.16,199.0,541010.0,2016-11-14 09:58:00
2016-11-14 09:59:00,27.16,27.21,27.12,27.21,842.0,2284280.0,2016-11-14 09:59:00
2016-11-14 10:00:00,27.21,27.22,27.21,27.22,238.0,647739.0,2016-11-14 10:00:00
2016-11-14 10:01:00,27.21,27.21,27.15,27.17,48.0,130432.0,2016-11-14 10:01:00
2016-11-14 10:02:00,27.17,27.21,27.17,27.19,119.0,323426.0,2016-11-14 10:02:00
2016-11-14 10:03:00,27.19,27.2,27.18,27.18,209.0,570870.0,2016-11-14 10:03:00
2016-11-14 10:04:00,27.2,27.2,27.17,27.17,138.0,377990.0,2016-11-14 10:04:00
2016-11-14 10:05:00,27.18,27.19,27.17,27.19,218.0,592722.0,2016-11-14 10:05:00
2016-11-14 10:06:00,27.19,27.19,27.17,27.17,34.0,92420.0,2016-11-14 10:06:00
2016-11-14 10:07:00,27.18,27.22,27.17,27.22,153.0,416210.0,2016-11-14 10:07:00
2016-11-14 10:08:00,27.22,27.22,27.18,27.18,82.0,223020.0,2016-11-14 10:08:00
2016-11-14 10:09:00,27.17,27.21,27.17,27.21,275.0,747763.0,2016-11-14 10:09:00
2016-11-14 10:10:00,27.2,27.2,27.17,27.2,246.0,669000.0,2016-11-14 10:10:00
2016-11-14 10:11:00,27.2,27.2,27.18,27.18,54.0,146850.0,2016-11-14 10:11:00
2016-11-14 10:12:00,27.19,27.2,27.16,27.17,293.0,796456.0,2016-11-14 10:12:00
2016-11-14 10:13:00,27.16,27.17,27.16,27.16,87.0,236312.0,2016-11-14 10:13:00
