date,open,high,close,low,volume,amount
2016-02-04,21.22,21.52,21.35,21.01,2747843.0,58520508.0
2016-02-03,20.65,21.31,21.08,20.51,3070808.0,64221904.0
2016-02-02,20.32,20.93,20.93,20.32,2723532.0,56533708.0
2016-02-01,20.8,20.92,20.32,20.19,3304248.0,67929008.0
2016-01-29,20.39,21.13,20.81,20.17,4957877.0,102261888.0
2016-01-28,20.16,20.72,20.36,19.68,4606292.0,93803896.0
2016-01-27,20.44,20.79,20.53,19.78,4651212.0,94021096.0
2016-01-26,22.16,22.17,20.55,20.42,4917357.0,104557800.0
2016-01-25,22.35,22.45,22.2,22.1,1899420.0,42317276.0
2016-01-22,22.24,22.33,22.14,21.8,1730383.0,38238564.0
2016-01-21,22.4,22.85,22.01,22.01,2695711.0,60367456.0
2016-01-20,22.94,23.11,22.62,22.36,2944955.0,66984208.0
2016-01-19,22.25,23.08,23.03,22.2,2962910.0,67397504.0
2016-01-18,22.0,22.7,22.5,21.76,2343632.0,52400180.0
2016-01-15,22.79,22.9,22.09,22.0,3016621.0,67640456.0
2016-01-14,21.97,23.05,22.96,21.72,4171073.0,93107440.0
2016-01-13,23.39,23.59,22.39,22.01,4156266.0,96548760.0
2016-01-12,23.13,23.54,23.32,22.96,2418832.0,56261248.0
2016-01-11,23.7,24.3,23.1,23.1,5639702.0,134015912.0
2016-01-08,24.32,24.65,24.3,23.52,6620416.0,160863456.0
2016-01-07,25.24,25.24,23.72,23.6,1000000.0,24384072.0
2016-01-06,25.4,25.64,25.6,25.2,4215593.0,107199832.0
2016-01-05,24.6,25.67,25.27,24.32,8068115.0,202200032.0
2016-01-04,27.2,27.69,25.27,25.16,4617324.0,122916648.0
2015-12-31,27.09,27.67,27.3,26.9,7698657.0,210257056.0
2015-12-30,26.94,27.2,27.2,26.76,4730762.0,127558536.0
2015-12-29,26.74,26.82,26.81,26.28,3781381.0,100405264.0
2015-12-28,27.33,27.75,26.65,26.48,5403019.0,147028288.0
2015-12-25,27.13,27.39,27.32,27.08,3153980.0,85895288.0
2015-12-24,27.51,27.63,27.08,26.72,5077443.0,137376560.0
2015-12-23,27.8,28.36,27.6,27.4,9281446.0,258906496.0
2015-12-22,27.88,27.99,27.74,27.49,5533116.0,153266144.0
2015-12-21,26.51,28.1,27.88,26.5,11658662.0,321585024.0
2015-12-18,26.75,26.75,26.59,26.42,4287266.0,113958464.0
2015-12-17,26.12,26.74,26.7,26.12,5107281.0,135554352.0
2015-12-16,26.01,26.18,26.07,25.9,3219201.0,83915464.0
2015-12-15,25.88,26.24,25.89,25.83,3957384.0,102877840.0
2015-12-14,25.3,25.98,25.94,25.15,5133097.0,130883648.0
